spot,maturity,volatility,greek,method,bump,reference,estimate,bias,across_seed_se,rmse,bias_over_se,runtime_s
100,2,0.5,vega,finite_difference,0.005,49.9142,49.875,-0.0391653,0.148599,0.576854,-0.263563,0.00571698
100,2,0.5,vega,pathwise,-,49.9142,49.875,-0.0392204,0.148354,0.575911,-0.26437,0.0053908
130,0.1,0.1,delta,finite_difference,6.5,1,1,-3.4224e-07,2.29691e-05,8.89597e-05,-0.0149,0.00559373
130,0.1,0.1,delta,finite_difference,2.6,1,1,-3.4224e-07,2.29691e-05,8.89597e-05,-0.0149,0.00552129
130,0.1,0.1,delta,finite_difference,1.3,1,1,-3.4224e-07,2.29691e-05,8.89597e-05,-0.0149,0.00557539
130,0.1,0.1,delta,finite_difference,0.65,1,1,-3.4224e-07,2.29691e-05,8.89597e-05,-0.0149,0.00557883
130,0.1,0.1,delta,pathwise,-,1,1,-3.4224e-07,2.29691e-05,8.89597e-05,-0.0149,0.0054776
130,0.1,0.1,delta,likelihood_ratio,-,1,0.998697,-0.00130268,0.00591432,0.0229431,-0.220259,0.00540317
130,0.1,0.1,gamma,finite_difference,6.5,2.54905e-17,5.4008e-19,-2.49504e-17,3.55951e-19,2.49884e-17,-70.0951,0.00572161
130,0.1,0.1,gamma,finite_difference,2.6,2.54905e-17,1.25503e-18,-2.42354e-17,2.10308e-18,2.55676e-17,-11.5238,0.00569791
130,0.1,0.1,gamma,finite_difference,1.3,2.54905e-17,1.74344e-17,-8.05603e-18,7.77967e-18,3.11889e-17,-1.03552,0.00566758
130,0.1,0.1,gamma,finite_difference,0.65,2.54905e-17,9.41271e-18,-1.60778e-17,3.285e-17,1.28239e-16,-0.489429,0.00570523
130,0.1,0.1,vega,finite_difference,0.02,4.30789e-15,-0.00133704,-0.00133704,0.0301888,0.116928,-0.0442891,0.00592087
130,0.1,0.1,vega,finite_difference,0.01,4.30789e-15,-0.00133753,-0.00133753,0.0301889,0.116929,-0.0443054,0.00587033
130,0.1,0.1,vega,finite_difference,0.005,4.30789e-15,-0.00133765,-0.00133765,0.0301889,0.116929,-0.0443094,0.0058666
130,0.1,0.1,vega,pathwise,-,4.30789e-15,-0.00133769,-0.00133769,0.0301889,0.116929,-0.0443108,0.00546522
130,0.1,0.5,delta,finite_difference,6.5,0.961638,0.959033,-0.00260515,0.000162011,0.00267965,-16.0801,0.00588229
130,0.1,0.5,delta,finite_difference,2.6,0.961638,0.961309,-0.000329205,0.000163902,0.000715076,-2.00854,0.00579901
130,0.1,0.5,delta,finite_difference,1.3,0.961638,0.961645,6.9761e-06,0.000163144,0.000631893,0.0427604,0.00572999
130,0.1,0.5,delta,finite_difference,0.65,0.961638,0.961734,9.6574e-05,0.000159366,0.000624732,0.605988,0.00567
130,0.1,0.5,delta,pathwise,-,0.961638,0.961758,0.000120631,0.000157847,0.000623127,0.76423,0.00604124
130,0.1,0.5,delta,likelihood_ratio,-,0.961638,0.960673,-0.000964553,0.00187722,0.00733415,-0.51382,0.00626098
130,0.1,0.5,gamma,finite_difference,6.5,0.00405213,0.00413832,8.61934e-05,1.2162e-05,9.82243e-05,7.08709,0.00625997
130,0.1,0.5,gamma,finite_difference,2.6,0.00405213,0.00404013,-1.20004e-05,2.87917e-05,0.000112154,-0.416799,0.0059168
130,0.1,0.5,gamma,finite_difference,1.3,0.00405213,0.00402048,-3.16482e-05,3.90279e-05,0.000154432,-0.810911,0.00615187
130,0.1,0.5,gamma,finite_difference,0.65,0.00405213,0.00403728,-1.48429e-05,4.74683e-05,0.000184442,-0.31269,0.00584526
130,0.1,0.5,vega,finite_difference,0.02,3.42405,3.40352,-0.0205234,0.0347624,0.136189,-0.59039,0.00623068
130,0.1,0.5,vega,finite_difference,0.01,3.42405,3.40297,-0.0210774,0.0349723,0.137077,-0.602689,0.00595169
130,0.1,0.5,vega,finite_difference,0.005,3.42405,3.4028,-0.0212514,0.0350592,0.137437,-0.606156,0.0059607
130,0.1,0.5,vega,pathwise,-,3.42405,3.40316,-0.0208834,0.0352104,0.137959,-0.593104,0.00564455
130,2,0.1,delta,finite_difference,6.5,0.995768,0.995075,-0.00069307,0.000108661,0.000810836,-6.37826,0.00528937
130,2,0.1,delta,finite_difference,2.6,0.995768,0.9957,-6.8216e-05,0.000113984,0.000446697,-0.598472,0.00513217
130,2,0.1,delta,finite_difference,1.3,0.995768,0.99579,2.16528e-05,0.000115591,0.000448206,0.187322,0.00520791
130,2,0.1,delta,finite_difference,0.65,0.995768,0.99581,4.12685e-05,0.000114894,0.000446894,0.359187,0.00514325
130,2,0.1,delta,pathwise,-,0.995768,0.995804,3.54042e-05,0.000117855,0.000457823,0.300403,0.00499724
130,2,0.1,delta,likelihood_ratio,-,0.995768,0.994573,-0.00119581,0.0023284,0.00909679,-0.513577,0.0048673
130,2,0.1,gamma,finite_difference,6.5,0.000677677,0.000716892,3.92149e-05,6.16401e-06,4.59101e-05,6.36192,0.00518444
130,2,0.1,gamma,finite_difference,2.6,0.000677677,0.000670946,-6.7306e-06,9.94445e-06,3.90984e-05,-0.67682,0.00515144
130,2,0.1,gamma,finite_difference,1.3,0.000677677,0.000651847,-2.583e-05,1.43101e-05,6.11462e-05,-1.80502,0.00518075
130,2,0.1,gamma,finite_difference,0.65,0.000677677,0.000641772,-3.59049e-05,1.89134e-05,8.15776e-05,-1.89839,0.00522037
130,2,0.1,vega,finite_difference,0.02,2.29055,2.5747,0.284152,0.147165,0.63687,1.93085,0.00559236
130,2,0.1,vega,finite_difference,0.01,2.29055,2.31863,0.0280779,0.146555,0.568298,0.191586,0.00544967
130,2,0.1,vega,finite_difference,0.005,2.29055,2.25174,-0.038806,0.145166,0.563562,-0.267322,0.00538643
130,2,0.1,vega,pathwise,-,2.29055,2.23529,-0.0552562,0.143651,0.559094,-0.384656,0.00492305
130,2,0.5,delta,finite_difference,6.5,0.806759,0.806088,-0.000670868,0.000794976,0.00315117,-0.843885,0.00555141
130,2,0.5,delta,finite_difference,2.6,0.806759,0.806338,-0.000420891,0.000799696,0.00312568,-0.526314,0.00552586
130,2,0.5,delta,finite_difference,1.3,0.806759,0.806362,-0.000396564,0.000800851,0.00312693,-0.495179,0.00552139
130,2,0.5,delta,finite_difference,0.65,0.806759,0.806359,-0.000399415,0.000801573,0.00313007,-0.498289,0.0055248
130,2,0.5,delta,pathwise,-,0.806759,0.806366,-0.000392487,0.00080366,0.00313721,-0.488375,0.00539794
130,2,0.5,delta,likelihood_ratio,-,0.806759,0.806378,-0.000380231,0.00179555,0.00696452,-0.211763,0.00530496
130,2,0.5,gamma,finite_difference,6.5,0.00298281,0.00297153,-1.12826e-05,1.20755e-05,4.81098e-05,-0.934338,0.00564528
130,2,0.5,gamma,finite_difference,2.6,0.00298281,0.00296095,-2.18566e-05,2.26377e-05,9.03587e-05,-0.965494,0.00565463
130,2,0.5,gamma,finite_difference,1.3,0.00298281,0.00293427,-4.85369e-05,2.85374e-05,0.000120713,-1.70082,0.00563599
130,2,0.5,gamma,finite_difference,0.65,0.00298281,0.00292691,-5.59028e-05,2.98983e-05,0.000128584,-1.86977,0.00562553
130,2,0.5,vega,finite_difference,0.02,50.4095,50.3708,-0.0387037,0.2002,0.776335,-0.193325,0.00594614
130,2,0.5,vega,finite_difference,0.01,50.4095,50.3825,-0.0269716,0.199916,0.774741,-0.134914,0.00571343
130,2,0.5,vega,finite_difference,0.005,50.4095,50.3879,-0.0215734,0.199966,0.774765,-0.107885,0.00576788
130,2,0.5,vega,pathwise,-,50.4095,50.3883,-0.0211452,0.200084,0.775211,-0.105681,0.00534908
