scenario,paths,analytic,rmse,bias,mean_standard_error,mean_ci_width,coverage,seed_count,runtime_seconds
atm_call,1000,14.231254785985833,0.82336900602201402,-0.00873790448279331,0.71317079656642823,2.7989692459436259,0.90625,32,0.0039134590000000002
atm_call,4000,14.231254785985833,0.38164120864006568,0.00099166323936756076,0.35519572252876808,1.3927631882972347,0.9375,32,0.013272208000000001
atm_call,16000,14.231254785985833,0.1656714543026897,-0.042310353024982414,0.17763664610532351,0.69637553989921264,1,32,0.048133457999999997
atm_call,64000,14.231254785985833,0.088498050030060227,0.021238661622888174,0.089042936937766728,0.34904850024189477,0.9375,32,0.25263687499999998
atm_call,256000,14.231254785985833,0.040213195255838136,-0.001992992828919681,0.044493454298421005,0.1744119605719445,0.96875,32,0.592382042
atm_call,1024000,14.231254785985833,0.024476352984106626,0.0012719929796766727,0.022256252758688214,0.087243010816436262,0.96875,32,2.3826262909999998
otm_call,1000,4.6733724344096821,0.43600308725910825,-0.0196896299461898,0.43959510313189132,1.7252713939738189,0.96875,32,0.0029266660000000001
otm_call,4000,4.6733724344096821,0.2440645443864066,-0.012551578018156265,0.2170535741792721,0.85109197220343502,0.90625,32,0.010800666
otm_call,16000,4.6733724344096821,0.10356126877659391,-0.03604994465545644,0.10894457743405409,0.42708720634563574,0.96875,32,0.045620250000000001
otm_call,64000,4.6733724344096821,0.053120850464087883,0.0089330211916993363,0.054574689883385714,0.21393289922900929,0.90625,32,0.130735875
otm_call,256000,4.6733724344096821,0.025140048659560679,-0.0038677990542358436,0.027281711608048324,0.10694285000674704,0.96875,32,0.537802208
otm_call,1024000,4.6733724344096821,0.012834700150827723,0.0019482026000576522,0.013648050921051551,0.053499439777154829,1,32,2.1166641660000001
itm_call,1000,26.462085709671783,0.9671802350158385,-0.029971767028247429,0.87725951888983966,3.4429654521828872,0.90625,32,0.0027399999999999998
itm_call,4000,26.462085709671783,0.46790310383019795,-0.0011860312958368539,0.43730388677715204,1.7147187225859397,0.9375,32,0.0085706250000000001
