barrier_type,convention,barrier,monitoring,price,reference,bias,across_seed_se,bias_over_se,knock_fraction
down_and_out,discrete,70,5,10.458479758624861,10.449632879392295,0.008846879232564997,0.0062358567433508007,1.4187111084612856,0.034008749999999997
down_and_out,discrete,70,12,10.44598138974912,10.449632879392295,-0.0036514896431751862,0.0066517858256444308,-0.54894876938125514,0.039588125000000002
down_and_out,discrete,70,25,10.44670766977808,10.449632879392295,-0.0029252096142159396,0.0080180690287193178,-0.36482719264929642,0.043709999999999999
down_and_out,discrete,70,50,10.458417651573759,10.449632879392295,0.0087847721814624524,0.0043019065093385456,2.0420648757457971,0.046951562499999995
down_and_out,discrete,70,100,10.46213515145514,10.449632879392295,0.0125022720628436,0.0070459656922614664,1.7743873031591335,0.049622812500000002
down_and_out,discrete,70,250,10.459459214063003,10.449632879392295,0.0098263346707083699,0.0071576412270740282,1.3728453772647775,0.051942187500000001
down_and_out,brownian_bridge,70,5,10.457673998698432,10.449632879392295,0.0080411193061366015,0.0062308447457670524,1.2905343712181829,0.056660625000000006
down_and_out,brownian_bridge,70,12,10.445262382261101,10.449632879392295,-0.0043704971311929732,0.006667799188085047,-0.65546322075847552,0.056436562500000002
down_and_out,brownian_bridge,70,25,10.446047823978217,10.449632879392295,-0.0035850554140780533,0.0080147874388219707,-0.44730511463258366,0.0563959375
down_and_out,brownian_bridge,70,50,10.457957366249712,10.449632879392295,0.0083244868574154935,0.0042880030437252685,1.9413435047806,0.056562812500000004
down_and_out,brownian_bridge,70,100,10.461733929064076,10.449632879392295,0.012101049671782715,0.007044589904152734,1.7177791520056029,0.056629375000000003
down_and_out,brownian_bridge,70,250,10.459203537211845,10.449632879392295,0.0095706578195492442,0.0071648743425602891,1.3357746921949889,0.056497187500000004
down_and_out,discrete,80,5,10.437530783933495,10.351345201184554,0.086185582748941517,0.0062244201430798323,13.846363318639515,0.14503281250000002
down_and_out,discrete,80,12,10.410009391648076,10.351345201184554,0.058664190463523447,0.0065401326767658011,8.9698777322868946,0.16704999999999998
down_and_out,discrete,80,25,10.39714459534544,10.351345201184554,0.045799394160887741,0.0079898715982601679,5.7321814997453497,0.18163593750000001
down_and_out,discrete,80,50,10.398219579218582,10.351345201184554,0.046874378034029274,0.0043344796392167295,10.81430343101111,0.192706875
down_and_out,discrete,80,100,10.392648701578272,10.351345201184554,0.041303500393717774,0.007101479875820201,5.8161821361138948,0.20083593750000003
down_and_out,discrete,80,250,10.38010630793884,10.351345201184554,0.028761106754287336,0.007061733619893755,4.0728110549601917,0.20820124999999998
